Age 	 GS
5.420819900000000416e+03	1.822109999999999843e+02
5.420845299999999952e+03	1.814099999999999966e+02
5.420870799999999690e+03	1.810149999999999864e+02
5.420896099999999933e+03	1.805649999999999977e+02
5.420921400000000176e+03	1.796419999999999959e+02
5.420946399999999812e+03	1.785920000000000130e+02
5.420971400000000358e+03	1.774809999999999945e+02
5.420995899999999892e+03	1.771190000000000282e+02
5.421020599999999831e+03	1.774770000000000039e+02
5.421045100000000275e+03	1.780109999999999957e+02
5.421069500000000517e+03	1.786359999999999957e+02
5.421093700000000354e+03	1.790749999999999886e+02
5.421117600000000493e+03	1.791020000000000039e+02
5.421141499999999724e+03	1.788990000000000009e+02
5.421165399999999863e+03	1.786349999999999909e+02
5.421189000000000306e+03	1.776999999999999886e+02
5.421212599999999838e+03	1.768770000000000095e+02
5.421235999999999876e+03	1.762599999999999909e+02
5.421259000000000015e+03	1.752570000000000050e+02
5.421282199999999648e+03	1.742890000000000157e+02
5.421305199999999786e+03	1.733700000000000045e+02
5.421328000000000429e+03	1.723750000000000000e+02
5.421350699999999961e+03	1.712420000000000186e+02
5.421373300000000199e+03	1.700169999999999959e+02
5.421395599999999831e+03	1.685590000000000259e+02
5.421417900000000373e+03	1.682350000000000136e+02
5.421439800000000105e+03	1.687040000000000077e+02
5.421460900000000038e+03	1.701040000000000134e+02
5.421481399999999667e+03	1.722249999999999943e+02
5.421501199999999699e+03	1.736699999999999875e+02
5.421520400000000336e+03	1.747709999999999866e+02
5.421538900000000467e+03	1.753269999999999982e+02
5.421556999999999789e+03	1.757199999999999989e+02
5.421574599999999919e+03	1.769609999999999843e+02
5.421591800000000148e+03	1.783390000000000271e+02
5.421608600000000479e+03	1.800109999999999957e+02
5.421625100000000202e+03	1.816990000000000123e+02
5.421641099999999824e+03	1.821790000000000020e+02
5.421656999999999243e+03	1.819840000000000089e+02
5.421672700000000077e+03	1.814890000000000043e+02
5.421688200000000506e+03	1.812199999999999989e+02
5.421703499999999622e+03	1.815749999999999886e+02
5.421718799999999646e+03	1.817009999999999934e+02
5.421733900000000176e+03	1.822199999999999989e+02
5.421749200000000201e+03	1.823020000000000209e+02
5.421764400000000023e+03	1.815329999999999870e+02
5.421779800000000250e+03	1.806840000000000259e+02
5.421795299999999770e+03	1.797150000000000034e+02
5.421810800000000199e+03	1.788340000000000032e+02
5.421826699999999619e+03	1.779390000000000214e+02
5.421842800000000352e+03	1.773249999999999886e+02
5.421859300000000076e+03	1.769749999999999943e+02
5.421876000000000204e+03	1.770379999999999825e+02
5.421893200000000434e+03	1.774079999999999870e+02
5.421910600000000159e+03	1.776470000000000198e+02
5.421928700000000390e+03	1.778390000000000271e+02
5.421947299999999814e+03	1.774990000000000236e+02
5.421966500000000451e+03	1.770909999999999798e+02
5.421986200000000281e+03	1.767249999999999943e+02
5.422006599999999708e+03	1.765329999999999870e+02
5.422027500000000146e+03	1.764440000000000168e+02
5.422049399999999878e+03	1.764579999999999984e+02
5.422071999999999207e+03	1.761990000000000123e+02
5.422095400000000154e+03	1.760459999999999923e+02
5.422119700000000194e+03	1.758970000000000198e+02
5.422144900000000234e+03	1.752990000000000066e+02
5.422170799999999872e+03	1.744309999999999832e+02
5.422197900000000118e+03	1.727299999999999898e+02
5.422226099999999860e+03	1.705240000000000009e+02
5.422255400000000009e+03	1.678940000000000055e+02
5.422285799999999654e+03	1.647959999999999923e+02
5.422317299999999705e+03	1.618110000000000070e+02
5.422350099999999657e+03	1.585739999999999839e+02
5.422383800000000520e+03	1.560709999999999980e+02
5.422419100000000071e+03	1.549110000000000014e+02
5.422462800000000243e+03	1.550070000000000050e+02
5.422519900000000234e+03	1.562980000000000018e+02
5.422588200000000143e+03	1.589809999999999945e+02
5.422665700000000470e+03	1.621829999999999927e+02
5.422749399999999696e+03	1.648420000000000130e+02
5.422838600000000042e+03	1.662309999999999945e+02
5.422930599999999686e+03	1.660640000000000214e+02
5.423023199999999633e+03	1.649149999999999920e+02
5.423114199999999983e+03	1.624819999999999993e+02
5.423201500000000124e+03	1.591419999999999959e+02
5.423282199999999648e+03	1.561689999999999827e+02
5.423355800000000272e+03	1.539850000000000136e+02
5.423419200000000274e+03	1.530099999999999909e+02
