Distance (mm)	Ba/Ca (uM/M)	Cu/Ca (uM/M)	Ni/Ca  (uM/M)	Co/Ca (uM/M)	Zn/Ca (uM/M)	Sr/Ca  (mM/M)	P/Ca (mM/M)	Mg/Ca (mM/M)	U/Ca (uM/M)	Br/Ca (mM/m)	Pb/Ca (uM/M)	Al/Ca  (mM/M)	Fe/Ca (uM/M)	Mn/Ca  (uM/M)	Na/Ca  (mM/M)	Age (yrs BP)	Age (kyr BP)
91.847	1.49	3.58	14.54	0.11	29.04	0.85	1.68	10.94	0.22	0.78	0.12	0.000	20.41	0.82	6.07	5672.2245	5.6722
91.874	1.31	5.01	23.92	0.00	32.25	0.84	1.64	10.65	0.26	1.03	0.21	0.004	37.75	1.70	1.99	5672.2908	5.6723
91.901	1.15	2.41	12.36	0.00	24.24	0.89	1.64	10.84	0.15	1.12	0.16	0.043	17.08	0.69	2.61	5672.3558	5.6724
91.928	1.89	2.93	9.91	0.32	24.09	0.90	1.36	10.57	0.16	1.00	0.24	0.004	20.40	0.38	1.70	5672.4198	5.6724
91.955	1.40	3.47	11.07	0.00	13.16	0.79	1.05	11.59	0.22	1.28	0.21	0.016	8.22	1.29	1.88	5672.4825	5.6725
91.982	1.12	2.70	9.09	0.00	14.50	0.81	1.44	13.98	0.20	1.25	0.21	0.007	5.68	0.65	2.07	5672.5441	5.6725
92.009	1.54	4.13	12.62	0.10	39.87	0.76	1.40	13.94	0.18	1.14	0.28	0.115	15.48	0.90	1.11	5672.6044	5.6726
92.036	1.26	3.59	9.63	0.11	19.60	0.77	1.30	13.97	0.13	1.22	0.29	0.015	27.06	0.81	1.23	5672.6635	5.6727
92.063	1.03	6.27	12.44	0.12	21.25	0.75	0.86	13.88	0.14	0.93	0.24	0.046	21.03	0.79	2.00	5672.7215	5.6727
92.090	1.03	2.67	7.42	0.24	19.28	0.73	0.87	15.25	0.12	1.17	0.09	0.019	12.43	0.86	1.54	5672.7781	5.6728
92.117	1.08	1.52	3.93	0.00	8.58	0.72	0.61	17.00	0.11	1.13	0.17	0.015	13.87	0.39	1.13	5672.8336	5.6728
92.144	1.26	1.44	8.85	0.35	16.00	0.66	0.68	16.57	0.13	0.83	0.20	0.000	5.78	0.39	0.87	5672.8877	5.6729
92.171	1.10	1.91	5.26	0.14	57.15	0.73	0.57	18.05	0.16	0.76	0.16	0.032	8.13	0.46	1.08	5672.9406	5.6729
92.198	1.13	1.73	9.26	0.00	36.57	0.74	0.53	15.43	0.13	0.52	0.48	0.021	17.28	0.65	0.97	5672.9922	5.6730
92.225	1.55	6.30	4.38	0.13	25.60	0.72	0.48	16.91	0.20	0.75	0.20	0.026	22.16	0.89	1.11	5673.0423	5.6730
92.252	1.05	1.97	4.52	0.00	28.64	0.69	0.39	17.77	0.11	1.09	0.20	0.029	49.16	1.97	0.92	5673.0904	5.6731
92.279	1.09	2.48	4.57	0.00	21.37	0.69	0.35	17.91	0.12	0.83	0.21	0.026	14.53	0.31	1.21	5673.1369	5.6731
92.306	0.95	2.20	5.33	0.00	18.77	0.72	0.52	17.61	0.14	0.62	0.18	0.005	21.31	0.59	1.22	5673.1819	5.6732
92.333	1.01	2.08	4.27	0.00	21.00	0.67	0.29	16.84	0.15	0.73	0.14	0.008	35.79	0.83	1.28	5673.2256	5.6732
92.361	1.17	1.44	3.94	0.13	21.24	0.71	0.30	18.64	0.11	0.76	0.06	0.000	76.49	0.24	0.92	5673.2697	5.6733
92.388	1.15	2.10	5.71	0.00	19.68	0.68	0.36	18.70	0.14	0.86	0.14	0.038	8.06	0.43	1.60	5673.3113	5.6733
92.415	0.78	2.49	8.22	0.00	13.89	0.67	0.66	17.67	0.15	0.93	0.11	0.005	323.95	0.16	1.12	5673.3522	5.6734
92.442	0.82	2.15	3.95	0.13	25.09	0.69	0.62	16.90	0.16	0.69	0.14	0.018	16.72	0.36	0.92	5673.3926	5.6734
92.469	1.08	1.79	4.19	0.13	21.62	0.64	0.48	17.03	0.18	1.02	0.13	0.000	8.06	0.15	2.38	5673.4326	5.6734
92.496	1.00	2.00	3.85	0.13	18.91	0.68	0.47	15.54	0.17	0.80	0.07	0.000	8.35	0.59	1.09	5673.4725	5.6735
92.523	1.10	1.77	4.67	0.00	15.77	0.68	0.50	16.83	0.15	0.84	0.18	0.772	105.48	3.00	0.92	5673.5124	5.6735
92.550	1.05	4.02	3.55	0.13	24.92	0.69	0.70	15.61	0.17	0.94	0.11	0.086	8.16	0.40	1.07	5673.5525	5.6736
92.577	1.15	2.35	3.48	0.00	14.88	0.66	0.69	16.72	0.18	0.92	0.07	0.000	15.48	0.24	0.86	5673.593	5.6736
92.604	1.25	2.12	7.32	0.00	14.89	0.67	0.65	15.98	0.16	1.05	0.19	0.009	10.79	0.50	0.88	5673.6342	5.6736
92.631	1.20	2.79	3.47	0.00	10.62	0.63	0.72	14.49	0.14	0.73	0.14	0.013	8.01	0.07	0.94	5673.6762	5.6737
92.658	1.21	2.83	2.91	0.00	7.81	0.69	0.50	17.25	0.18	0.90	0.09	0.005	9.02	0.20	1.05	5673.7191	5.6737
92.685	1.18	1.08	2.42	0.00	13.16	0.70	0.64	15.83	0.19	0.74	0.08	0.000	6.28	0.24	0.76	5673.7633	5.6738
92.712	0.83	2.12	4.20	0.00	15.64	0.69	0.68	16.28	0.16	0.75	0.18	0.010	8.70	0.30	0.79	5673.8088	5.6738
92.739	1.18	2.12	2.40	0.00	13.42	0.69	0.58	15.68	0.24	0.85	0.09	0.016	12.45	0.14	0.97	5673.8559	5.6739
92.766	1.00	2.47	1.91	0.00	13.99	0.67	0.76	17.58	0.19	0.74	0.09	0.011	3.99	0.14	0.86	5673.9047	5.6739
92.793	0.83	3.44	13.34	0.00	20.40	0.81	0.72	15.71	0.18	0.80	0.07	0.007	9.11	0.04	0.90	5673.9555	5.6740
92.820	1.38	2.16	3.45	0.12	10.78	0.86	0.45	10.88	0.15	1.36	0.09	0.012	4.45	0.44	0.67	5674.0085	5.6740
92.847	1.09	1.51	5.28	0.00	7.02	0.84	0.87	11.28	0.19	1.56	0.16	0.007	22.27	0.17	0.85	5674.0634	5.6741
92.874	1.06	3.86	6.76	0.00	14.26	0.83	1.07	11.79	0.21	1.94	0.04	0.007	6.63	0.30	0.96	5674.1203	5.6741
92.902	1.08	1.75	3.68	0.00	4.76	0.80	1.02	13.28	0.18	1.56	0.11	0.004	8.23	0.16	1.20	5674.1813	5.6742
92.929	1.16	5.83	7.65	0.00	16.83	0.79	1.17	12.69	0.18	1.71	0.13	0.004	10.30	0.09	1.45	5674.2422	5.6742
92.956	1.13	2.91	5.37	0.00	45.11	0.79	1.26	14.36	0.23	1.54	0.44	0.019	48.35	0.76	1.69	5674.3051	5.6743
92.983	1.73	3.50	6.35	0.17	28.69	0.82	1.00	13.59	0.23	0.83	0.37	0.138	27.12	0.88	1.80	5674.3701	5.6744
93.010	1.29	4.58	4.48	0.16	21.52	0.95	1.29	11.39	0.23	1.11	0.25	0.022	15.57	0.49	1.36	5674.4373	5.6744
93.037	0.91	2.75	7.16	0.00	8.31	0.88	0.96	9.74	0.18	1.13	0.04	0.224	17.43	0.27	1.13	5674.5065	5.6745
93.064	1.24	2.11	3.98	0.00	4.75	0.90	0.99	11.43	0.20	1.23	0.03	0.034	4.59	0.28	1.44	5674.578	5.6746
93.091	0.94	2.50	4.35	0.00	3.59	0.88	0.98	10.49	0.22	1.42	0.03	0.004	2.64	0.08	0.90	5674.6518	5.6747
93.118	0.91	2.83	6.61	0.00	3.37	0.83	0.97	10.35	0.26	1.49	0.04	0.000	4.79	0.27	1.65	5674.7278	5.6747
93.145	1.68	2.41	5.88	0.43	8.89	0.93	1.13	10.58	0.25	1.47	0.11	0.385	5.94	0.48	1.90	5674.8062	5.6748
93.172	1.12	4.71	6.59	0.00	5.90	0.94	1.39	10.11	0.24	1.27	0.04	0.000	1.44	0.38	2.13	5674.8869	5.6749
93.199	1.52	3.56	14.20	0.00	7.63	0.93	1.12	9.32	0.21	1.55	0.06	0.006	5.27	0.33	2.35	5674.9701	5.6750
93.226	1.60	4.06	12.47	0.00	44.91	0.90	1.15	9.52	0.22	1.50	0.18	0.000	7.03	0.58	2.66	5675.0585	5.6751
93.253	1.54	4.15	14.21	0.00	6.13	0.83	1.38	9.38	0.26	1.46	0.18	0.000	6.40	0.40	1.99	5675.1596	5.6752
93.280	3.37	8.74	22.61	0.00	14.52	0.81	1.51	10.67	0.25	1.31	0.27	0.000	12.10	1.82	3.08	5675.271	5.6753
93.307	1.93	11.63		0.00	17.19	0.80	1.36	12.34	0.27	1.19	0.29	0.000	12.15	1.38	5.21	5675.3893	5.6754
93.334	1.28	2.22	4.34	0.11	13.05	0.81	1.37	11.80	0.26	0.88	0.08	0.015	173.73	0.37	2.94	5675.5111	5.6755
93.361	1.13	2.64	6.29	0.00	2.83	0.89	1.07	10.07	0.26	1.00	0.04	0.000	1.87	0.22	0.95	5675.6332	5.6756
93.388	1.49	3.09	12.29	0.11	6.64	0.91	1.07	10.30	0.23	0.94	0.04	0.004	3.92	0.19	1.27	5675.7522	5.6758
93.415	1.27	1.91	6.90	0.10	5.83	0.85	1.23	10.00	0.19	1.17	0.08	0.000	3.73	0.20	1.52	5675.8647	5.6759
93.443	1.06	1.90	3.38	0.09	6.08	0.90	1.08	8.75	0.22	0.83	0.05	0.003	6.21	0.00	0.98	5675.9711	5.6760
93.470	1.38	3.50	6.22	0.00	7.23	0.93	1.31	9.23	0.18	1.14	0.04	0.000	4.27	0.36	1.28	5676.0622	5.6761
93.497	1.32	3.06	8.78	0.00	9.02	1.04	1.52	8.97	0.19	1.05	0.06	0.016	9.18	0.27	1.13	5676.1462	5.6761
93.524	1.76	2.90	11.71	0.09	11.89	1.01	1.64	8.65	0.20	1.47	0.08	0.038	55.76	0.55	1.32	5676.2247	5.6762
93.551	1.45	5.67	21.69	0.00	6.31	0.99	1.68	9.31	0.19	1.23	0.09	0.006	7.62	1.10	2.01	5676.2992	5.6763
93.578	1.58	3.23	18.59	0.00	17.67	1.00	2.11	9.17	0.18	1.23	0.07	0.067	4.53	0.61	2.13	5676.371	5.6764
93.605	1.56	2.35	5.54	0.00	2.55	0.92	2.13	9.37	0.20	1.33	0.08	0.013	1.81	0.24	1.57	5676.4415	5.6764
93.632	1.49	1.94	5.13	0.11	6.54	0.88	1.67	9.20	0.22	1.46	0.17	0.011	14.66	0.68	1.10	5676.5121	5.6765
93.659	1.08	2.55	4.35	0.00	7.44	0.88	2.02	10.04	0.19	1.59	0.04	0.044	2.02	0.22	1.30	5676.5841	5.6766
93.686	1.58	2.43	2.64	0.00	2.47	0.91	2.11	10.41	0.23	1.37	0.09	0.008	1.65	0.17	1.42	5676.659	5.6767
93.713	1.20	2.00	3.20	0.00	2.61	0.90	2.24	9.32	0.17	1.42	0.05	0.004	2.84	0.48	1.41	5676.7381	5.6767
93.740	1.07	2.72	4.37	0.00	2.83	0.82	2.05	8.40	0.20	1.52	0.01	0.000	2.37	0.09	1.05	5676.8229	5.6768
93.767	1.27	2.20	1.46	0.00	2.95	0.81	2.49	9.48	0.21	1.70	0.07	0.012	11.67	0.35	1.16	5676.9146	5.6769
93.794	1.23	4.75	21.49	0.00	6.41	0.82	2.17	9.27	0.21	1.52	0.15	0.019	25.02	0.39	1.21	5677.0149	5.6770
93.821	1.20	1.00	4.02	0.00	0.94	0.82	1.99	9.07	0.20	1.24	0.06	0.029	1.30	0.19	1.52	5677.1352	5.6771
93.848	1.16	2.79	6.45	0.00	3.68	0.83	2.16	8.88	0.20	1.17	0.04	0.000	4.69	0.20	1.31	5677.2759	5.6773
93.875	1.25	2.01	15.79	0.32	1.88	0.79	1.86	8.97	0.29	1.21	0.05	0.007	2.94	0.06	3.22	5677.4291	5.6774
93.902	1.18	3.07	3.90	0.00	3.30	0.86	1.81	9.00	0.26	1.49	0.06	0.000	1.47	0.24	1.09	5677.5871	5.6776
93.929	1.21	2.44	2.62	0.10	2.38	0.80	2.04	10.35	0.22	1.24	0.02	0.004	1.28	0.25	1.46	5677.7418	5.6777
93.956	1.25	2.84	4.29	0.11	10.36	0.80	1.42	9.84	0.26	1.08	0.07	0.004	1.51	0.45	1.01	5677.8857	5.6779
93.984	1.08	1.08	4.35	0.00	2.55	0.74	1.34	9.14	0.22	1.27	0.08	0.004	2.03	0.30	1.15	5678.015	5.6780
94.011	0.92	1.63	5.22	0.00	4.84	0.74	1.37	8.92	0.30	1.05	0.03	0.000	2.36	0.62	1.11	5678.1255	5.6781
94.038	1.10	1.83	3.05	0.00	7.42	0.81	1.25	8.75	0.25	1.00	0.04	0.000	24.36	0.33	0.92	5678.2288	5.6782
94.065	0.80	1.06	2.80	0.00	2.81	0.82	1.26	7.44	0.22	0.85	0.07	0.000	4.12	0.15	0.80	5678.3266	5.6783
94.092	1.26	1.31	2.16	0.00	4.22	0.85	1.13	6.61	0.18	0.74	0.09	0.004	48.14	0.00	0.53	5678.4205	5.6784
94.119	1.20	1.37	10.14	0.00	5.65	0.88	1.28	6.60	0.18	0.79	0.20	0.000	2.31	0.41	0.59	5678.5123	5.6785
94.146	1.00	3.72	13.38	0.00	10.65	0.82	1.33	6.03	0.17	0.79	0.18	0.006	5.89	0.55	1.43	5678.6036	5.6786
94.173	1.28	2.68	13.00	0.00	5.81	0.91	1.93	6.72	0.19	0.60	0.10	0.004	2.51	0.50	1.62	5678.6961	5.6787
94.200	1.02	1.59	6.25	0.10	5.32	0.84	1.93	6.32	0.19	0.83	0.03	0.000	4.52	0.44	1.39	5678.7914	5.6788
94.227	0.92	2.77	5.12	0.00	4.25	0.90	1.93	5.31	0.25	0.69	0.04	0.000	4.98	0.60	1.06	5678.8913	5.6789
94.254	1.07	0.77	7.65	0.00	4.85	0.77	1.62	5.27	0.21	0.73	0.05	0.004	5.77	0.22	0.53	5678.9974	5.6790
94.281	1.05	1.37	4.30	0.00	3.56	0.78	1.76	6.23	0.20	0.61	0.23	0.000	7.87	4.28	0.64	5679.1175	5.6791
94.308	0.95	1.01	2.06	0.00	4.02	0.81	1.38	6.31	0.19	0.66	0.02	0.007	1.18	0.19	0.35	5679.2545	5.6793
94.335	1.11	1.45	2.36	0.00	2.41	0.86	1.19	7.17	0.15	0.73	0.08	0.000	2.81	0.48	0.40	5679.4009	5.6794
94.362	0.86	1.58	1.60	0.00	2.37	0.84	1.25	6.96	0.15	0.70	0.12	0.000	3.55	0.06	0.40	5679.549	5.6795
94.389	1.09	1.13	2.26	0.10	6.26	0.81	1.58	5.71	0.15	0.83	0.07	0.000	40.70	0.26	0.32	5679.6913	5.6797
94.416	0.89	1.92	2.22	0.09	4.29	0.79	1.87	5.21	0.15	0.95	0.03	0.000	2.44	0.30	0.31	5679.8202	5.6798
94.443	0.66	1.71	3.67	0.00	3.83	0.79	1.85	4.93	0.14	0.84	0.05	0.003	2.23	0.63	0.33	5679.9282	5.6799
94.470	1.22	1.30	4.19	0.00	5.37	0.79	1.83	5.48	0.17	0.83	0.05	0.032	6.00	0.67	0.31	5680.0077	5.6800
94.498	0.74	1.41	1.84	0.20	2.47	0.76	1.32	5.53	0.17	0.79	0.03	0.010	2.80	0.44	0.28	5680.0735	5.6801
94.525	1.36	0.92	1.35	0.00	2.86	0.80	1.40	6.63	0.18	0.57	0.04	0.007	5.34	0.48	0.30	5680.1322	5.6801
94.552	0.60	0.90	2.66	0.00	8.27	0.79	1.04	6.53	0.17	0.80	0.24	0.017	5.36	0.22	0.41	5680.1867	5.6802
94.579	1.15	1.68	3.67	0.21	3.47	0.85	1.03	5.70	0.19	0.76	0.01	0.007	3.84	0.25	0.45	5680.2372	5.6802
94.606	1.09	1.92	3.21	0.00	4.07	0.78	1.23	5.48	0.18	0.73	0.06	0.003	6.36	0.71	0.39	5680.2841	5.6803
94.633	0.88	2.38	4.41	0.10	3.42	0.82	1.47	5.35	0.19	0.74	0.05	0.025	1.96	0.43	0.52	5680.3278	5.6803
94.660	0.71	1.43	3.39	0.10	3.78	0.79	1.55	5.22	0.16	0.78	0.01	0.013	3.37	1.14	0.44	5680.3687	5.6804
94.687	0.84	1.15	5.11	0.00	7.21	0.76	1.58	5.05	0.20	0.62	0.03	0.000	6.19	2.84	0.32	5680.407	5.6804
94.714	0.65	1.19	3.92	0.22	6.89	0.71	1.32	7.04	0.21	0.55	0.04	0.018	3.20	1.41	0.44	5680.4433	5.6804
94.741	1.10	2.03	3.67	0.00	5.85	0.87	0.96	6.45	0.16	0.75	0.21	0.011	3.49	0.37	0.35	5680.4777	5.6805
94.768	1.31	0.95	8.93	0.00	12.99	0.84	1.00	7.08	0.18	1.16	0.15	0.004	5.55	1.63	0.51	5680.5107	5.6805
94.795	0.98	1.71	4.98	0.00	9.15	0.74	1.06	6.68	0.17	1.05	0.23	0.000	1.90	1.28	0.61	5680.5427	5.6805
94.822	1.16	1.18	7.91	0.00	9.81	0.82	1.07	9.02	0.18	0.65	0.17	0.007	3.99	1.12	0.65	5680.5739	5.6806
94.849	1.23	2.31	5.60	0.00	5.74	0.71	1.13	6.82	0.19	0.90	0.10	0.003	8.87	0.81	0.54	5680.6048	5.6806
94.876	1.17	1.62	8.27	0.00	7.34	0.77	1.22	6.37	0.18	1.05	0.09	0.000	4.64	0.71	0.64	5680.6357	5.6806
94.903	1.44	1.56	5.31	0.00	4.05	0.69	1.54	7.56	0.14	0.78	0.06	0.000	3.42	1.42	0.59	5680.6669	5.6807
94.930	1.31	1.76	4.76	0.12	3.82	0.70	1.13	7.18	0.16	1.07	0.05	0.000	4.10	1.34	0.61	5680.6989	5.6807
94.957	0.90	2.25	6.46	0.11	4.61	0.64	0.93	6.62	0.18	0.92	0.04	0.000	6.44	1.33	0.50	5680.7319	5.6807
94.984	1.09	1.97	5.92	0.34	4.47	0.74	1.01	7.51	0.17	0.78	0.18	0.015	5.15	1.34	0.51	5680.7664	5.6808
95.011	1.32	1.57	4.02	0.00	8.30	0.63	0.73	7.76	0.16	0.81	0.09	0.004	16.93	0.78	0.50	5680.8027	5.6808
95.039	1.08	1.42	4.19	0.00	2.76	0.73	0.97	7.36	0.17	1.46	0.05	0.466	1.67	0.82	0.53	5680.8426	5.6808
95.066	1.15	1.55	3.60	0.00	7.34	0.71	1.36	6.56	0.14	1.26	0.13	0.007	5.65	0.56	0.50	5680.8836	5.6809
95.093	0.91	1.85	8.66	0.10	7.69	0.75	1.46	7.18	0.13	1.21	0.07	0.000	9.16	0.80	0.52	5680.9275	5.6809
95.120	0.96	1.49	3.90	0.00	5.38	0.69	1.09	6.74	0.13	0.95	0.07	0.025	7.41	0.29	0.63	5680.9746	5.6810
95.147	1.13	1.25	4.39	0.10	3.88	0.66	1.09	6.94	0.14	0.97	0.07	0.013	2.30	2.45	0.53	5681.0249	5.6810
95.174	1.19	1.62	3.82	0.10	3.62	0.65	1.24	7.03	0.17	0.94	0.05	0.004	10.18	0.92	0.49	5681.0761	5.6811
95.201	0.88	1.31	5.94	0.00	4.88	0.64	0.88	6.57	0.16	1.00	0.07	0.006	2.37	0.64	0.35	5681.128	5.6811
95.228	0.92	1.90	3.36	0.10	3.68	0.67	1.01	6.59	0.13	0.81	0.04	0.000	3.76	0.85	0.45	5681.1811	5.6812
95.255	1.12	1.21	5.29	0.00	6.04	0.75	1.19	6.72	0.12	0.73	0.04	0.000	3.71	0.84	0.42	5681.2357	5.6812
95.282	0.91	1.71	5.53	0.00	7.13	0.66	1.26	5.78	0.09	0.75	0.07	0.003	14.32	1.11	0.38	5681.2924	5.6813
95.309	0.92	3.18	6.10	0.00	6.76	0.76	1.23	6.18	0.15	0.94	0.13	0.003	3.21	0.70	0.39	5681.3515	5.6814
95.336	0.84	2.43	6.56	0.09	8.38	0.73	1.62	5.49	0.17	0.93	0.12	0.000	16.38	0.87	0.41	5681.4134	5.6814
95.363	1.14	2.95	2.74	0.00	8.26	0.78	1.97	4.80	0.21	0.99	0.09	0.009	3.39	1.60	0.41	5681.4785	5.6815
95.390	0.63	3.00	2.98	0.09	4.98	0.71	1.68	5.48	0.16	0.90	0.03	0.006	4.59	0.48	0.61	5681.5473	5.6815
95.417	0.93	3.20	4.43	0.09	7.51	0.76	1.56	4.90	0.13	0.92	0.16	0.028	5.40	0.78	0.43	5681.6201	5.6816
95.444	1.40	1.41	7.54	0.00	5.10	0.71	1.19	5.36	0.15	0.99	0.09	0.003	4.40	0.38	0.43	5681.6973	5.6817
95.471	0.60	2.16	2.59	0.00	7.67	0.62	1.63	5.36	0.15	1.04	0.09	0.022	5.55	1.13	0.46	5681.7794	5.6818
95.498	0.84	2.08	2.84	0.33	6.17	0.62	1.44	6.31	0.13	0.84		0.004	7.98	1.60	0.46	5681.8668	5.6819
95.525	0.79	1.31	2.23	0.23	4.50	0.63	1.33	7.16	0.13	1.14	0.15	0.026	2.45	0.31	0.60	5681.9599	5.6820
95.552	1.28	1.65	1.59	0.10	8.20	0.58	1.08	6.78	0.13	1.04	0.05	0.126	1.52	0.50	0.45	5682.064	5.6821
95.580	0.96	1.40	1.21	0.00	2.45	0.64	1.43	7.06	0.14	1.02	0.04	0.011	4.66	0.16	0.80	5682.2023	5.6822
95.607	1.08	2.82	1.69	0.00	0.95	0.62	1.42	7.81	0.15	1.04	0.02	0.004	1.38	0.29	0.42	5682.3591	5.6824
95.634	0.72	2.33	1.93	0.00	6.33	0.60	1.41	7.91	0.15	0.78	0.12	0.004	6.39	0.46	0.52	5682.531	5.6825
95.661	1.07	4.02	10.79	0.00	14.74	0.68	1.47	8.43	0.14	0.55	0.36	0.053	7.61	1.84	0.58	5682.7102	5.6827
95.688	2.27	3.70	17.07	0.32	24.50	0.68	1.39	7.62	0.20	0.86	0.27		64.54	6.04	0.84	5682.8885	5.6829
95.715	1.50	5.08	12.52	0.00	22.69	0.60	0.86	7.24	0.15	0.88	0.36	0.038	17.67	1.90	0.98	5683.0623	5.6831
95.742	1.68	6.66	9.28	0.00	13.24	0.69	1.27	9.05	0.14	0.67	0.25	0.037	12.65	1.75	0.76	5683.2619	5.6833
95.769	1.29	2.92	7.05	0.00	18.70	0.64	0.92	8.62	0.10	0.56	0.20	0.021	18.85	3.18	0.65	5683.4775	5.6835
95.796	1.26	3.12	4.02	0.33	8.19	0.60	1.03	8.50	0.12	0.51	0.13	0.032	8.02	1.30	0.57	5683.6862	5.6837
95.823	0.84	5.78	3.51	0.00	8.97	0.66	0.99	8.76	0.16	0.70	0.17	0.017	57.29	1.17	0.52	5683.8654	5.6839
95.850	1.33	2.61	4.47	0.00	8.57	0.54	0.83	7.80	0.17	0.69	0.11	0.011	32.45	1.38	0.50	5683.9924	5.6840
95.877	1.11	2.79	5.24	0.00	17.78	0.73	1.24	7.35	0.16	0.46	0.16	0.036	38.09	0.97	0.54	5684.075	5.6841
95.904	1.17	2.58	8.67	0.00	32.24	0.79	1.18	6.24	0.17	0.75	0.18	0.009	20.91	0.87	0.45	5684.1508	5.6842
95.931	1.09	1.82	2.25	0.00	13.57	0.81	1.63	5.59	0.19	1.03	0.07	0.008	29.14	0.50	0.43	5684.2206	5.6842
95.958	1.27	3.43	4.62	0.00	31.32	0.88	1.46	5.14	0.18	0.90	0.16	0.004	19.04	0.52	0.39	5684.2849	5.6843
95.985	1.58	1.89	9.53	0.00	18.85	0.88	1.26	5.29	0.13	0.69	0.18	0.000	21.18	1.74	0.84	5684.3442	5.6843
96.012	1.28	3.69	6.92	0.10	14.45	0.79	1.42	5.02	0.14	0.90	0.12	0.010	7.22	0.34	0.73	5684.399	5.6844
96.039	1.50	2.56	5.19	0.00	10.97	0.76	1.23	4.72	0.16	0.72	0.13	0.004	44.97	1.86	0.99	5684.4498	5.6844
96.066	0.90	11.82		0.24	22.34	0.75	1.45	5.08	0.14	0.93	0.37	0.020	39.70	1.15	0.63	5684.497	5.6845
96.094	1.16	3.69	7.99	0.00	15.02	0.79	1.52	5.23	0.12	0.72	0.32	0.157	17.15	0.46	0.69	5684.5427	5.6845
96.121	0.89	1.76	4.39	0.11	27.72	0.70	1.51	4.29	0.12	1.04	0.18	0.004	10.62	0.50	0.45	5684.5841	5.6846
96.148	1.39	3.32	6.40	0.12	12.19	0.67	1.82	6.44	0.17	1.04	0.35	0.000	20.13	1.02	0.98	5684.6234	5.6846
96.175	1.07	8.45	7.97	0.13	51.17	0.63	1.43	9.23	0.10	0.81	0.52	0.013	18.08	0.68	0.95	5684.6611	5.6847
96.202	1.13	4.61	5.26	0.16	26.16	0.64	1.11	9.42	0.16	0.80	0.21	0.056	14.45	1.43	1.30	5684.6976	5.6847
96.229	0.75	13.74		0.00	32.80	0.55	1.07	7.51	0.13	1.22	0.23	0.098	21.40	1.45	2.32	5684.7335	5.6847
96.256	0.95	6.04	6.80	0.00	28.44	0.72	1.34	7.60	0.13	1.17	0.15	0.068	39.13	1.33	4.15	5684.7691	5.6848
96.283	0.61	2.95	4.37	0.00	11.58	0.61	1.27	5.63	0.13	0.61	0.18	0.018	18.28	0.61	1.96	5684.8051	5.6848
96.310	1.10	6.20	4.83	0.00	21.70	0.69	1.14	6.09	0.16	0.85	0.04	0.016	6.55	1.24	1.01	5684.8418	5.6848
96.337	1.09	5.54	6.67	0.11	27.73	0.68	1.34	5.81	0.13	1.22	0.06	0.128	13.37	2.15	0.69	5684.8798	5.6849
96.364	1.27	2.85	5.27	0.11	8.83	0.63	1.16	5.89	0.19	1.23	0.10	0.000	8.34	0.29	1.11	5684.9195	5.6849
96.391	1.09	4.22	4.70	0.00	19.98	0.63	1.37	6.57	0.16	1.04	0.15	0.012	203.18	0.83	1.32	5684.9614	5.6850
96.418	0.73	2.43	2.33	0.00	13.48	0.63	1.63	6.25	0.12	0.83	0.12	0.022	7.64	0.60	1.63	5685.006	5.6850
96.445	0.85	3.63	2.15	0.13	15.42	0.61	1.61	5.92	0.13	1.00	0.08	0.436	13.65	0.20	1.07	5685.0507	5.6851
96.472	1.30	3.63	2.87	0.00	11.05	0.65	1.39	6.07	0.16	1.04	0.23	0.001	3.75	0.21	0.72	5685.0941	5.6851
96.499	0.72	1.91	2.66	0.00	14.97	0.61	1.52	5.79	0.14	0.89	0.05	0.005	3.90	0.39	0.73	5685.1365	5.6851
96.526	1.19	2.89	3.62	0.00	19.42	0.63	1.38	6.20	0.14	0.81	0.12	0.040	4.20	0.03	0.64	5685.1779	5.6852
96.553	1.07	2.91	2.04	0.13	6.26	0.67	1.53	6.35	0.14	0.83	0.03	0.009	5.08	0.19	0.54	5685.2187	5.6852
96.580	0.95	2.22	1.49	0.13	11.36	0.67	1.77	5.95	0.15	0.72	0.05	0.000	3.47	0.27	0.58	5685.2589	5.6853
96.607	1.31	5.94	2.29	0.14	10.29	0.69	1.75	6.75	0.15	0.88	0.08	0.000	10.40	0.16	0.71	5685.2988	5.6853
96.635	1.07	3.32	1.45	0.00	11.24	0.66	1.36	6.16	0.11	0.86	0.05	0.021	2.17	0.23	0.69	5685.3401	5.6853
96.662	0.99	5.91	3.38	0.00	7.40	0.68	1.59	5.97	0.08	0.89	0.05	0.009	1.78	0.24	0.68	5685.3799	5.6854
96.689	0.81	2.72	4.68	0.00	15.83	0.73	1.31	6.41	0.12	0.89	0.02	0.000	124.85	0.26	0.62	5685.42	5.6854
96.716	1.19	2.95	1.42	0.00	7.93	0.62	1.36	5.87	0.13	0.64	0.03	0.006	2.23	0.23	1.87	5685.4605	5.6855
96.743	0.79	3.60	4.35	0.00	8.16	0.65	1.14	5.63	0.12	0.60	0.17	0.027	7.10	0.34	0.83	5685.5017	5.6855
96.770	0.95	3.95	3.53	0.00	13.80	0.64	1.45	5.99	0.13	0.71	0.11	0.012	6.61	0.31	0.80	5685.5436	5.6855
96.797	0.48	5.51	4.76	0.17	11.54	0.76	1.64	5.55	0.12	0.75	0.08	0.006	278.90	0.35	0.57	5685.5866	5.6856
