Distance (mm)	Ba/Ca (uM/M)	Cu/Ca (uM/M)	Ni/Ca  (uM/M)	Co/Ca (uM/M)	Zn/Ca (uM/M)	Sr/Ca  (mM/M)	P/Ca (mM/M)	Mg/Ca (mM/M)	U/Ca (uM/M)	Br/Ca (mM/m)	Pb/Ca (uM/M)	Al/Ca  (mM/M)	Fe/Ca (uM/M)	Mn/Ca  (uM/M)	Na/Ca  (mM/M)	Age (yrs BP)	Age (kyr BP)
3.823	0.96	2.73	4.34	0.11	10.83	0.83	0.91	5.92	0.11	0.70	0.44	0.040	6.04	0.69	0.42	5421.0067	5.4210
3.850	0.84	3.87	4.14	0.55	11.86	0.83	0.67	5.98	0.16	0.89	0.52	0.028	6.80	0.27	0.37	5421.0606	5.4211
3.877	2.09	4.55	10.49	0.00	17.79	0.85	0.96	5.96	0.13	0.67	1.49	0.025	11.53	0.38	0.41	5421.1101	5.4211
3.904		5.23	8.19	0.11	17.45	0.77	0.86	6.44	0.12	0.93	0.71	0.187	19.41	0.71	0.45	5421.1561	5.4212
3.931	0.68	4.75	5.94	0.00	8.48	0.79	0.90	6.25	0.10	0.62	0.47	0.088	13.02	0.31	0.41	5421.1991	5.4212
3.958	1.44	4.93	17.39	0.23	15.22	0.89	1.23	5.31	0.12	0.58	0.75	0.140	32.65	1.07	0.38	5421.24	5.4212
3.986	1.28	9.27		0.00	14.24	0.84	1.24	4.83	0.12	0.72	0.60	0.113	34.58	0.27	0.44	5421.2809	5.4213
4.013	0.92	6.44	15.86	0.00	14.27	0.80	1.26	4.80	0.09	0.82	0.92	0.080	23.13	0.70	0.39	5421.3197	5.4213
4.040	1.24	3.34	7.81	0.21	13.02	0.77	1.65	4.77	0.09	0.90	0.54	0.090	17.99	0.50	0.41	5421.3584	5.4214
4.067	1.27	3.39	5.51	0.00	10.10	0.83	1.44	5.55	0.12	0.91	0.74	0.017	14.84	0.16	0.40	5421.3979	5.4214
4.094	1.14	3.34	5.76	0.00	8.59	0.84	1.36	5.62	0.12	0.77	0.50	0.130	11.60	0.54	0.38	5421.4388	5.4214
4.121	1.35	3.53	9.98	0.00	7.39	0.86	1.45	5.75	0.12	0.55	0.62	0.080	10.97	0.38	0.42	5421.4819	5.4215
4.148	1.22	5.01	11.72	0.11	7.94	0.84	1.31	6.16	0.12	0.86	0.41	0.091	40.64	0.58	0.50	5421.528	5.4215
4.175	1.30	8.70		0.11	8.50	0.84	1.06	6.18	0.10	0.76	0.52	0.084	33.18	0.81	0.48	5421.5776	5.4216
4.202	0.93	9.07		0.00	13.01	0.84	1.23	6.01	0.10	0.79	0.63	0.068	21.84	0.68	0.61	5421.6316	5.4216
4.229	1.02	3.73	9.34	0.11	11.54	0.76	1.31	5.81	0.10	0.62	0.88	0.017	10.46	0.69	0.54	5421.6906	5.4217
4.256	1.44	5.27	14.97	0.12	12.02	0.82	1.51	5.66	0.13	0.72	1.02	0.041	19.63	1.45	0.65	5421.7555	5.4218
4.283	0.99	4.22	6.99	0.11	10.01	0.81	1.39	5.17	0.10	0.89	0.63	0.115	7.64	0.75	0.48	5421.8268	5.4218
4.310	1.46	6.30	9.94	0.21	15.65	0.78	1.36	5.04	0.10	0.63	0.78	0.014	12.73	0.39	0.34	5421.9053	5.4219
4.337	1.12	2.91	6.72	0.11	9.66	0.75	1.67	5.30	0.09	0.93	0.76	0.017	9.92	0.46	0.49	5421.9918	5.4220
4.364	1.13	3.71	9.15	0.21	15.07	0.77	1.32	5.32	0.08	0.80	0.91	0.011	27.23	1.21	0.46	5422.1219	5.4221
4.391	1.49	4.52	7.17	0.22	10.81	0.78	1.30	5.48	0.09	0.60	0.45	0.045	8.57	0.38	0.38	5422.3201	5.4223
4.418	1.07	5.63	13.18	0.00	13.98	0.77	1.18	5.10	0.08	0.77	0.61	0.058	22.99	2.03	0.39	5422.5514	5.4226
4.445	0.96	4.39	4.67	0.32	9.07	0.79	1.24	4.89	0.10	0.46	0.40	0.036	9.44	0.42	0.39	5422.7804	5.4228
